searched_name,id,display_name,works_api_url,h_index,works_count,country_code
Andrea Lo Sasso,https://openalex.org/A5102699008,Andrea Lo Sasso,https://api.openalex.org/works?filter=author.id:A5102699008,1.0,1.0,
Andrea Rapisarda,https://openalex.org/A5097309638,Andrea Rapisarda,https://api.openalex.org/works?filter=author.id:A5097309638,0.0,1.0,
Andrea W Wen-Yi,https://openalex.org/A5093402679,Andrea W Wen-Yi,https://api.openalex.org/works?filter=author.id:A5093402679,2.0,8.0,
Andreas Bjerre-Nielsen,https://openalex.org/A5058732791,Andreas Bjerre-Nielsen,https://api.openalex.org/works?filter=author.id:A5058732791,10.0,32.0,
Andreas Christian Schneider,,,,,,
Andreas Flache,https://openalex.org/A5055990297,Andreas Flache,https://api.openalex.org/works?filter=author.id:A5055990297,41.0,235.0,
Andreas Kaltenbrunner,https://openalex.org/A5053529497,Andreas Kaltenbrunner,https://api.openalex.org/works?filter=author.id:A5053529497,27.0,134.0,
Andreas Maier,https://openalex.org/A5109007175,Andreas Maier,https://api.openalex.org/works?filter=author.id:A5109007175,10.0,49.0,
Andreas Spitz,https://openalex.org/A5018128415,Andreas Spitz,https://api.openalex.org/works?filter=author.id:A5018128415,16.0,111.0,
Andres CASTRO,https://openalex.org/A5050554579,Andrés F. Castro Torres,https://api.openalex.org/works?filter=author.id:A5050554579,9.0,77.0,
Andres Karjus,https://openalex.org/A5116004342,Andres Karjus,https://api.openalex.org/works?filter=author.id:A5116004342,1.0,1.0,
Andrew Crooks,https://openalex.org/A5126655600,Andrew Crooks,https://api.openalex.org/works?filter=author.id:A5126655600,0.0,1.0,
Andrew Halterman,https://openalex.org/A5060472601,Andrew Halterman,https://api.openalex.org/works?filter=author.id:A5060472601,7.0,26.0,
Andrew Lippman,https://openalex.org/A5113714609,Andrew Lippman,https://api.openalex.org/works?filter=author.id:A5113714609,32.0,148.0,
Andrew Piper,https://openalex.org/A5027417114,Andrew Piper,https://api.openalex.org/works?filter=author.id:A5027417114,14.0,176.0,
Andrew Renninger,https://openalex.org/A5012236452,Andrew Renninger,https://api.openalex.org/works?filter=author.id:A5012236452,3.0,20.0,
Andrew Schauf,https://openalex.org/A5040651152,Andrew Schauf,https://api.openalex.org/works?filter=author.id:A5040651152,3.0,13.0,
André Calero Valdez,https://openalex.org/A5004787389,André Calero Valdez,https://api.openalex.org/works?filter=author.id:A5004787389,26.0,180.0,
André Mata,https://openalex.org/A5035729006,André Mata,https://api.openalex.org/works?filter=author.id:A5035729006,17.0,83.0,
Andrés Gvirtz,https://openalex.org/A5108018053,Andrés Gvirtz,https://api.openalex.org/works?filter=author.id:A5108018053,6.0,20.0,
Ane Rahbek Vierø,https://openalex.org/A5070868747,Ane Rahbek Vierø,https://api.openalex.org/works?filter=author.id:A5070868747,3.0,17.0,
Angel Hsing-Chi Hwang,https://openalex.org/A5085100954,Angel Hsing‐Chi Hwang,https://api.openalex.org/works?filter=author.id:A5085100954,10.0,46.0,
Angel Sánchez,https://openalex.org/A5077285926,Ángel Sánchez,https://api.openalex.org/works?filter=author.id:A5077285926,44.0,335.0,
Angelina Voggenreiter,https://openalex.org/A5093113571,Angelina Voggenreiter,https://api.openalex.org/works?filter=author.id:A5093113571,1.0,4.0,
Aniko Biro,https://openalex.org/A5021991324,Anikó Bíró,https://api.openalex.org/works?filter=author.id:A5021991324,15.0,67.0,
Anita Keshmirian,https://openalex.org/A5002117379,Anita Keshmirian,https://api.openalex.org/works?filter=author.id:A5002117379,3.0,7.0,
Anjalie Field,https://openalex.org/A5022479813,Anjalie Field,https://api.openalex.org/works?filter=author.id:A5022479813,29.0,131.0,
Anku Rani,https://openalex.org/A5110627453,Anku Rani,https://api.openalex.org/works?filter=author.id:A5110627453,5.0,21.0,
Anli Peng,https://openalex.org/A5120415285,Anli Peng,https://api.openalex.org/works?filter=author.id:A5120415285,0.0,1.0,
Ann Nowe,https://openalex.org/A5123135986,Ann Nowé,https://api.openalex.org/works?filter=author.id:A5123135986,0.0,5.0,
Anna Beers,https://openalex.org/A5075840027,Anna Beers,https://api.openalex.org/works?filter=author.id:A5075840027,1.0,5.0,
Anna Bertani,https://openalex.org/A5093875938,Anna Bertani,https://api.openalex.org/works?filter=author.id:A5093875938,1.0,4.0,
Anna De Simoni,https://openalex.org/A5091770864,Anna De Simoni,https://api.openalex.org/works?filter=author.id:A5091770864,24.0,101.0,
Anna Sara Ligeti,https://openalex.org/A5113279800,Anna Sára Ligeti,https://api.openalex.org/works?filter=author.id:A5113279800,1.0,3.0,
Anna Seo Gyeong Choi,https://openalex.org/A5102733770,Anna Seo Gyeong Choi,https://api.openalex.org/works?filter=author.id:A5102733770,3.0,15.0,
Anna Thoma,https://openalex.org/A5029899439,Anna I Thoma,https://api.openalex.org/works?filter=author.id:A5029899439,1.0,9.0,
Anna-Carolina Haensch,https://openalex.org/A5037838698,Anna‐Carolina Haensch,https://api.openalex.org/works?filter=author.id:A5037838698,4.0,48.0,
Annabella Sakunkoo,https://openalex.org/A5109819792,Annabella Sakunkoo,https://api.openalex.org/works?filter=author.id:A5109819792,0.0,5.0,
Anne C Kroon,https://openalex.org/A5018717377,Anne C. Kroon,https://api.openalex.org/works?filter=author.id:A5018717377,16.0,45.0,
Anne Driscoll,https://openalex.org/A5019597621,Anne Driscoll,https://api.openalex.org/works?filter=author.id:A5019597621,10.0,18.0,
Anne Maass,https://openalex.org/A5126890481,Anne Maass,https://api.openalex.org/works?filter=author.id:A5126890481,0.0,1.0,
Anne-Marie Nussberger,https://openalex.org/A5086655976,Anne-Marie Nußberger,https://api.openalex.org/works?filter=author.id:A5086655976,11.0,34.0,
Annett Heft,https://openalex.org/A5024066633,Annett Heft,https://api.openalex.org/works?filter=author.id:A5024066633,16.0,61.0,
Annika Fredén,https://openalex.org/A5073660378,Annika Fredén,https://api.openalex.org/works?filter=author.id:A5073660378,7.0,52.0,
Annina Claesson,https://openalex.org/A5074509683,Annina Claesson,https://api.openalex.org/works?filter=author.id:A5074509683,3.0,10.0,
Anthony Olejniczak,https://openalex.org/A5074324364,Anthony Jay Olejniczak,https://api.openalex.org/works?filter=author.id:A5074324364,1.0,3.0,
Anthony Paik,https://openalex.org/A5090765519,Anthony Paik,https://api.openalex.org/works?filter=author.id:A5090765519,21.0,71.0,
Antoine Vendeville,https://openalex.org/A5125348523,Antoine Vendeville,https://api.openalex.org/works?filter=author.id:A5125348523,0.0,1.0,
Anton Gollwitzer,https://openalex.org/A5031295007,Anton Gollwitzer,https://api.openalex.org/works?filter=author.id:A5031295007,19.0,59.0,
Antonina Zhiteneva,https://openalex.org/A5120126331,Antonina Zhiteneva,https://api.openalex.org/works?filter=author.id:A5120126331,0.0,2.0,
Aparna Ananthasubramaniam,https://openalex.org/A5053835888,Aparna Ananthasubramaniam,https://api.openalex.org/works?filter=author.id:A5053835888,3.0,18.0,
Aparna Balagopalan,https://openalex.org/A5010008842,Aparna Balagopalan,https://api.openalex.org/works?filter=author.id:A5010008842,10.0,35.0,
Arda Astam,https://openalex.org/A5119402064,Arda Astam,https://api.openalex.org/works?filter=author.id:A5119402064,0.0,1.0,
Ardyn Vivienne Olszko,,,,,,
Arianna Pera,https://openalex.org/A5040192490,Arianna Pera,https://api.openalex.org/works?filter=author.id:A5040192490,4.0,13.0,
Ariel Flint Ashery,https://openalex.org/A5114285271,Ariel Flint Ashery,https://api.openalex.org/works?filter=author.id:A5114285271,1.0,2.0,
Ariella Kristal,https://openalex.org/A5039705639,Ariella Kristal,https://api.openalex.org/works?filter=author.id:A5039705639,6.0,37.0,
Arkadiusz Lipiecki,https://openalex.org/A5080988332,Arkadiusz Lipiecki,https://api.openalex.org/works?filter=author.id:A5080988332,3.0,14.0,
Armin Pournaki,https://openalex.org/A5080502439,Armin Pournaki,https://api.openalex.org/works?filter=author.id:A5080502439,4.0,26.0,
Arnout van de Rijt,https://openalex.org/A5081982677,Arnout van de Rijt,https://api.openalex.org/works?filter=author.id:A5081982677,23.0,107.0,
Arthur Thomas Edward Capozzi Lupi,,,,,,
Arti Thakur,https://openalex.org/A5123294498,arti thakur,https://api.openalex.org/works?filter=author.id:A5123294498,0.0,1.0,
Ashley Whillans,https://openalex.org/A5031735105,Ashley V. Whillans,https://api.openalex.org/works?filter=author.id:A5031735105,29.0,142.0,
Ashley Young,https://openalex.org/A5071857027,Ashley K. Young,https://api.openalex.org/works?filter=author.id:A5071857027,9.0,12.0,
Astha Verma,https://openalex.org/A5101618291,Astha Verma,https://api.openalex.org/works?filter=author.id:A5101618291,11.0,55.0,
Asya Zhelyazkova,https://openalex.org/A5117645568,Asya Zhelyazkova Reini Schrama,https://api.openalex.org/works?filter=author.id:A5117645568,0.0,1.0,
Atushi Ishikawa,https://openalex.org/A5001097474,Atushi Ishikawa,https://api.openalex.org/works?filter=author.id:A5001097474,12.0,103.0,
August Lohse,https://openalex.org/A5059152087,August Lohse,https://api.openalex.org/works?filter=author.id:A5059152087,2.0,3.0,
Austin van Loon,https://openalex.org/A5070302861,Austin van Loon,https://api.openalex.org/works?filter=author.id:A5070302861,8.0,31.0,
Aviral Chawla,https://openalex.org/A5127145954,Aviral Chawla,https://api.openalex.org/works?filter=author.id:A5127145954,0.0,2.0,
Axel Alness Borg,https://openalex.org/A5124876464,Axel Alness Borg,https://api.openalex.org/works?filter=author.id:A5124876464,0.0,1.0,
Axel Bruns,https://openalex.org/A5025254950,Axel Bruns,https://api.openalex.org/works?filter=author.id:A5025254950,58.0,526.0,
Ayan-Yue Gupta,https://openalex.org/A5006626963,Ayan-Yue Gupta,https://api.openalex.org/works?filter=author.id:A5006626963,0.0,1.0,
Ayush Kumar,https://openalex.org/A5043685152,Ayush Kumar Bar,https://api.openalex.org/works?filter=author.id:A5043685152,4.0,7.0,
Azadeh Alavi,https://openalex.org/A5098647172,Azadeh Alavi,https://api.openalex.org/works?filter=author.id:A5098647172,0.0,1.0,
Azza Bouleimen,https://openalex.org/A5076789096,Azza Bouleimen,https://api.openalex.org/works?filter=author.id:A5076789096,1.0,8.0,
Babak Hemmatian,https://openalex.org/A5043382223,Babak Hemmatian,https://api.openalex.org/works?filter=author.id:A5043382223,6.0,32.0,
Babak Heydari,https://openalex.org/A5125658842,Babak Heydari,https://api.openalex.org/works?filter=author.id:A5125658842,0.0,2.0,
Baird Howland,https://openalex.org/A5033543507,Baird Howland,https://api.openalex.org/works?filter=author.id:A5033543507,5.0,6.0,
Balázs Lengyel,https://openalex.org/A5005839111,Balázs Lengyel,https://api.openalex.org/works?filter=author.id:A5005839111,22.0,173.0,
Bangzhao Shu,https://openalex.org/A5110786764,Bangzhao Shu,https://api.openalex.org/works?filter=author.id:A5110786764,1.0,7.0,
Bao Tran Truong,https://openalex.org/A5090414289,Bao Tran Truong,https://api.openalex.org/works?filter=author.id:A5090414289,7.0,18.0,
Barbara Kamińska,https://openalex.org/A5103262271,Barbara Kamińska,https://api.openalex.org/works?filter=author.id:A5103262271,2.0,6.0,
Bastiaan Bruinsma,https://openalex.org/A5044367040,Bastiaan Bruinsma,https://api.openalex.org/works?filter=author.id:A5044367040,3.0,31.0,
Bedoor AlShebli,https://openalex.org/A5119963927,Bedoor AlShebli,https://api.openalex.org/works?filter=author.id:A5119963927,0.0,1.0,
Belinda Wade,https://openalex.org/A5038850161,Belinda Wade,https://api.openalex.org/works?filter=author.id:A5038850161,12.0,40.0,
Bella Struminskaya,https://openalex.org/A5059953820,Bella Struminskaya,https://api.openalex.org/works?filter=author.id:A5059953820,14.0,73.0,
Belén C Saldías Fuentes,,,,,,
Ben Dennes,https://openalex.org/A5074377249,Ben Dennes,https://api.openalex.org/works?filter=author.id:A5074377249,1.0,2.0,
Ben Lasse Wolf,https://openalex.org/A5011976528,Ben Lasse Wolf,https://api.openalex.org/works?filter=author.id:A5011976528,0.0,3.0,
Bendegúz Váradi,https://openalex.org/A5092353461,Bendegúz Váradi,https://api.openalex.org/works?filter=author.id:A5092353461,1.0,2.0,
Benjamin Frank Maier,,,,,,
Benjamin Harack,https://openalex.org/A5023671549,Benjamin Harack,https://api.openalex.org/works?filter=author.id:A5023671549,4.0,10.0,
Benjamin Ooghe-Tabanou,https://openalex.org/A5014243814,Benjamin Ooghe-Tabanou,https://api.openalex.org/works?filter=author.id:A5014243814,6.0,65.0,
Benjamin S. Manning,https://openalex.org/A5095787372,Benjamin S. Manning,https://api.openalex.org/works?filter=author.id:A5095787372,3.0,5.0,
Beom Jun Kim,https://openalex.org/A5101866798,Beom Jun Kim,https://api.openalex.org/works?filter=author.id:A5101866798,31.0,235.0,
Bernhard Haslhofer,https://openalex.org/A5078932059,Bernhard Haslhofer,https://api.openalex.org/works?filter=author.id:A5078932059,25.0,147.0,
Bernice Pescosolido,https://openalex.org/A5007941468,Bernice A. Pescosolido,https://api.openalex.org/works?filter=author.id:A5007941468,65.0,328.0,
Betul Ozturan,https://openalex.org/A5115534702,Betül Özturan,https://api.openalex.org/works?filter=author.id:A5115534702,0.0,2.0,
Bijin Joseph,https://openalex.org/A5022729086,Bijin Joseph,https://api.openalex.org/works?filter=author.id:A5022729086,2.0,5.0,
Binglu Wang,https://openalex.org/A5081139669,Binglu Wang,https://api.openalex.org/works?filter=author.id:A5081139669,1.0,2.0,
Björn Komander,https://openalex.org/A5099860123,Björn Komander,https://api.openalex.org/works?filter=author.id:A5099860123,1.0,1.0,
Björn Lindström,https://openalex.org/A5063460972,Björn Lindström,https://api.openalex.org/works?filter=author.id:A5063460972,21.0,61.0,
Björn Pelzer,https://openalex.org/A5044522890,Björn Pelzer,https://api.openalex.org/works?filter=author.id:A5044522890,11.0,34.0,
Björn Ross,https://openalex.org/A5023817571,Björn Roß,https://api.openalex.org/works?filter=author.id:A5023817571,20.0,79.0,
Blas Kolic,https://openalex.org/A5122329575,Blas Kolic,https://api.openalex.org/works?filter=author.id:A5122329575,0.0,3.0,
Bogang Jun,https://openalex.org/A5007458424,Bogang Jun,https://api.openalex.org/works?filter=author.id:A5007458424,10.0,46.0,
Bogdan Mursan,,,,,,
Bojan Evkoski,https://openalex.org/A5038050687,Bojan Evkoski,https://api.openalex.org/works?filter=author.id:A5038050687,3.0,18.0,
Bowen Yi,https://openalex.org/A5064773948,Bowen Yi,https://api.openalex.org/works?filter=author.id:A5064773948,4.0,15.0,
Boyu Wang,https://openalex.org/A5100383950,Boyu Wang,https://api.openalex.org/works?filter=author.id:A5100383950,4.0,7.0,
Brahmani Nutakki,https://openalex.org/A5044851119,Brahmani Nutakki,https://api.openalex.org/works?filter=author.id:A5044851119,3.0,6.0,
Bramantyo Ibrahim Supriyatno,https://openalex.org/A5116004343,Bramantyo Ibrahim Supriyatno,https://api.openalex.org/works?filter=author.id:A5116004343,2.0,3.0,
Brandon M. Stewart,https://openalex.org/A5126181861,Brandon M. Stewart,https://api.openalex.org/works?filter=author.id:A5126181861,0.0,1.0,
Brandon Stewart,https://openalex.org/A5098798089,Brandon M. Zhukov Stewart,https://api.openalex.org/works?filter=author.id:A5098798089,0.0,4.0,
Brendan O'Connor,https://openalex.org/A5125289225,Brendan O'Connor,https://api.openalex.org/works?filter=author.id:A5125289225,1.0,1.0,
Brennan Klein,https://openalex.org/A5034550396,Brennan Klein,https://api.openalex.org/works?filter=author.id:A5034550396,16.0,70.0,
Brian Uzzi,https://openalex.org/A5015711710,Brian Uzzi,https://api.openalex.org/works?filter=author.id:A5015711710,51.0,191.0,
Bruce Lambert,https://openalex.org/A5125609515,Bruce L. Lambert,https://api.openalex.org/works?filter=author.id:A5125609515,0.0,1.0,
Bruno Damásio,https://openalex.org/A5126645407,Bruno Damásio,https://api.openalex.org/works?filter=author.id:A5126645407,0.0,1.0,
Bruno Gabriel Salvador Casara,https://openalex.org/A5126904830,Bruno Gabriel Salvador Casara,https://api.openalex.org/works?filter=author.id:A5126904830,0.0,1.0,
Bruno Lepri,https://openalex.org/A5112008655,Bruno Lepri,https://api.openalex.org/works?filter=author.id:A5112008655,8.0,18.0,
Bruno T. Sugano,,,,,,
Bryan Li,https://openalex.org/A5024942660,Bryan Z. Li,https://api.openalex.org/works?filter=author.id:A5024942660,1.0,1.0,
Bufan Gao,https://openalex.org/A5119800376,Bufan Gao,https://api.openalex.org/works?filter=author.id:A5119800376,0.0,4.0,
Burak Ozturan,https://openalex.org/A5118913060,Burak Özturan,https://api.openalex.org/works?filter=author.id:A5118913060,0.0,1.0,
Burint Bevis,https://openalex.org/A5121812806,Burint Bevis,https://api.openalex.org/works?filter=author.id:A5121812806,0.0,1.0,
Byunghwee Lee,https://openalex.org/A5039707142,Byunghwee Lee,https://api.openalex.org/works?filter=author.id:A5039707142,4.0,16.0,
Byungkyu Lee,https://openalex.org/A5066089123,Byungkyu Lee,https://api.openalex.org/works?filter=author.id:A5066089123,14.0,190.0,
Béatrice Mazoyer,https://openalex.org/A5018209878,Béatrice Mazoyer,https://api.openalex.org/works?filter=author.id:A5018209878,4.0,24.0,
Cai Yang,https://openalex.org/A5067297930,Cai Yang,https://api.openalex.org/works?filter=author.id:A5067297930,16.0,43.0,
Caixi Chen,https://openalex.org/A5037839610,Chen Caixi,https://api.openalex.org/works?filter=author.id:A5037839610,0.0,1.0,
